,,text,target,Text,text_final
10,38318,Just seen a bunch of dudes line up outside a trap house like they was at a supermarket #COVID__19,2,"['just', 'seen', 'a', 'bunch', 'of', 'dudes', 'line', 'up', 'outside', 'a', 'trap', 'house', 'like', 'they', 'was', 'at', 'a', 'supermarket', '#', 'covid__19']","['see', 'bunch', 'dude', 'line', 'outside', 'trap', 'house', 'like', 'supermarket']"
11,40593,"Although your business may be in a state not yet in lockdown, convincing customers itÂs safe to shop in your store is a retail challenge youÂve likely never faced before. https://t.co/GluH0Wfxcd #coronavirus",2,"['although', 'your', 'business', 'may', 'be', 'in', 'a', 'state', 'not', 'yet', 'in', 'lockdown', ',', 'convincing', 'customers', 'itâ\x92s', 'safe', 'to', 'shop', 'in', 'your', 'store', 'is', 'a', 'retail', 'challenge', 'youâ\x92ve', 'likely', 'never', 'faced', 'before', '.', 'https', ':', '//t.co/gluh0wfxcd', '#', 'coronavirus']","['although', 'business', 'may', 'state', 'yet', 'lockdown', 'convince', 'customer', 'safe', 'shop', 'store', 'retail', 'challenge', 'likely', 'never', 'face', 'http', 'coronavirus']"
12,37350,"Post Covid-19 US consumer concept...completely automated grocery stores for dry and packaged goods.                                    Re-emergence of butcher/deli/dairy shops, fresh produce shops and bakeryÂs. Concept couples AI and desire 2 buy local. Get ready @AppHarvest",2,"['post', 'covid-19', 'us', 'consumer', 'concept', '...', 'completely', 'automated', 'grocery', 'stores', 'for', 'dry', 'and', 'packaged', 'goods', '.', 're-emergence', 'of', 'butcher/deli/dairy', 'shops', ',', 'fresh', 'produce', 'shops', 'and', 'bakeryâ\x92s', '.', 'concept', 'couples', 'ai', 'and', 'desire', '2', 'buy', 'local', '.', 'get', 'ready', '@', 'appharvest']","['post', 'u', 'consumer', 'concept', 'completely', 'automate', 'grocery', 'store', 'dry', 'package', 'good', 'shop', 'fresh', 'produce', 'shop', 'concept', 'couple', 'ai', 'desire', 'buy', 'local', 'get', 'ready', 'appharvest']"
13,40448,People are dying People are dying alone Doctors nurses grocery store workers they re all dying is losing his mind at the podium in the briefing room of the White House Please someone use the,0,"['people', 'are', 'dying', 'people', 'are', 'dying', 'alone', 'doctors', 'nurses', 'grocery', 'store', 'workers', 'they', 're', 'all', 'dying', 'is', 'losing', 'his', 'mind', 'at', 'the', 'podium', 'in', 'the', 'briefing', 'room', 'of', 'the', 'white', 'house', 'please', 'someone', 'use', 'the']","['people', 'die', 'people', 'die', 'alone', 'doctor', 'nurse', 'grocery', 'store', 'worker', 'dying', 'lose', 'mind', 'podium', 'briefing', 'room', 'white', 'house', 'please', 'someone', 'use']"
14,36110,"Flushing true cause of the global #toiletpaper shortage amid #coronavirus pandemic https://t.co/zeBOYU1I7p Âpeople have deep emotional connections to what goes into and comes out of our https://t.co/hJrWqQWRAJ sounds highfalutin, but itÂs part of your beingÂ #gitwitter @somedocs",2,"['flushing', 'true', 'cause', 'of', 'the', 'global', '#', 'toiletpaper', 'shortage', 'amid', '#', 'coronavirus', 'pandemic', 'https', ':', '//t.co/zeboyu1i7p', 'â\x93people', 'have', 'deep', 'emotional', 'connections', 'to', 'what', 'goes', 'into', 'and', 'comes', 'out', 'of', 'our', 'https', ':', '//t.co/hjrwqqwraj', 'sounds', 'highfalutin', ',', 'but', 'itâ\x92s', 'part', 'of', 'your', 'beingâ\x94', '#', 'gitwitter', '@', 'somedocs']","['flush', 'true', 'cause', 'global', 'toiletpaper', 'shortage', 'amid', 'coronavirus', 'pandemic', 'http', 'deep', 'emotional', 'connection', 'go', 'come', 'http', 'sound', 'highfalutin', 'part', 'gitwitter', 'somedocs']"
15,37711,"This is due to #hoarding like behaviors. It is not necessary to buy a whole shelf of #lysolwipes or #toiletpaper and sell it online. Or just keep all to yourself.  We need literally have a lot more product if assholes did not exist in this world.

#coronavirus #stoppanicbuying",0,"['this', 'is', 'due', 'to', '#', 'hoarding', 'like', 'behaviors', '.', 'it', 'is', 'not', 'necessary', 'to', 'buy', 'a', 'whole', 'shelf', 'of', '#', 'lysolwipes', 'or', '#', 'toiletpaper', 'and', 'sell', 'it', 'online', '.', 'or', 'just', 'keep', 'all', 'to', 'yourself', '.', 'we', 'need', 'literally', 'have', 'a', 'lot', 'more', 'product', 'if', 'assholes', 'did', 'not', 'exist', 'in', 'this', 'world', '.', '#', 'coronavirus', '#', 'stoppanicbuying']","['due', 'hoard', 'like', 'behavior', 'necessary', 'buy', 'whole', 'shelf', 'lysolwipes', 'toiletpaper', 'sell', 'online', 'keep', 'need', 'literally', 'lot', 'product', 'asshole', 'exist', 'world', 'coronavirus', 'stoppanicbuying']"
16,39759,House prices are estimated to drop anywhere from 20 even up to 50 perfect depending on the city due to COVID-19 and so soon is the perfect time to buy if only COVID-19 hadn't also gotten rid of my job. Millenials really can't catch a break with the housing market huh.,2,"['house', 'prices', 'are', 'estimated', 'to', 'drop', 'anywhere', 'from', '20', 'even', 'up', 'to', '50', 'perfect', 'depending', 'on', 'the', 'city', 'due', 'to', 'covid-19', 'and', 'so', 'soon', 'is', 'the', 'perfect', 'time', 'to', 'buy', 'if', 'only', 'covid-19', 'had', ""n't"", 'also', 'gotten', 'rid', 'of', 'my', 'job', '.', 'millenials', 'really', 'ca', ""n't"", 'catch', 'a', 'break', 'with', 'the', 'housing', 'market', 'huh', '.']","['house', 'price', 'estimate', 'drop', 'anywhere', 'even', 'perfect', 'depend', 'city', 'due', 'soon', 'perfect', 'time', 'buy', 'also', 'gotten', 'rid', 'job', 'millenials', 'really', 'ca', 'catch', 'break', 'housing', 'market', 'huh']"
17,37036,"Thanks to Jason, Jay and Loui for showing John, one of our Executive Directors, the ropes this morning. John spent the morning emptying bins in #Selsey . He was utterly impressed. Thanks to the residents who were clapping and leaving notes and chocolates. They were really touched https://t.co/4R654J86up",2,"['thanks', 'to', 'jason', ',', 'jay', 'and', 'loui', 'for', 'showing', 'john', ',', 'one', 'of', 'our', 'executive', 'directors', ',', 'the', 'ropes', 'this', 'morning', '.', 'john', 'spent', 'the', 'morning', 'emptying', 'bins', 'in', '#', 'selsey', '.', 'he', 'was', 'utterly', 'impressed', '.', 'thanks', 'to', 'the', 'residents', 'who', 'were', 'clapping', 'and', 'leaving', 'notes', 'and', 'chocolates', '.', 'they', 'were', 'really', 'touched', 'https', ':', '//t.co/4r654j86up']","['thanks', 'jason', 'jay', 'loui', 'show', 'john', 'one', 'executive', 'director', 'rope', 'morning', 'john', 'spend', 'morning', 'empty', 'bin', 'selsey', 'utterly', 'impressed', 'thanks', 'resident', 'clap', 'leave', 'note', 'chocolate', 'really', 'touch', 'http']"
18,40585,"#CCSeries features 13 sessions designed to help you nail down strategies to connect with shoppers during and after the COVID-19 outbreak. Access is free, and you can tune in whenever is convenient for you. 

Check it out on demand now: https://t.co/LAiPGiOHTp https://t.co/9dUfGTnbFT",2,"['#', 'ccseries', 'features', '13', 'sessions', 'designed', 'to', 'help', 'you', 'nail', 'down', 'strategies', 'to', 'connect', 'with', 'shoppers', 'during', 'and', 'after', 'the', 'covid-19', 'outbreak', '.', 'access', 'is', 'free', ',', 'and', 'you', 'can', 'tune', 'in', 'whenever', 'is', 'convenient', 'for', 'you', '.', 'check', 'it', 'out', 'on', 'demand', 'now', ':', 'https', ':', '//t.co/laipgiohtp', 'https', ':', '//t.co/9dufgtnbft']","['ccseries', 'feature', 'session', 'design', 'help', 'nail', 'strategy', 'connect', 'shopper', 'outbreak', 'access', 'free', 'tune', 'whenever', 'convenient', 'check', 'demand', 'http', 'http']"
19,35951,"@ssupnow 1.Sanitizer
2.Italy 
3.Wuhan 
4. Grocery

#coronavirus #covid19 #contest #alert #GiveawayAlert #competition #puzzle 

@ssupnow

Join here friends
@MayurMa46334426 
@Rohith8977 
@pppppiya 
@cuteushakumari 
@Rupalpiya",2,"['@', 'ssupnow', '1.sanitizer', '2.italy', '3.wuhan', '4.', 'grocery', '#', 'coronavirus', '#', 'covid19', '#', 'contest', '#', 'alert', '#', 'giveawayalert', '#', 'competition', '#', 'puzzle', '@', 'ssupnow', 'join', 'here', 'friends', '@', 'mayurma46334426', '@', 'rohith8977', '@', 'pppppiya', '@', 'cuteushakumari', '@', 'rupalpiya']","['ssupnow', 'grocery', 'coronavirus', 'contest', 'alert', 'giveawayalert', 'competition', 'puzzle', 'ssupnow', 'join', 'friends', 'pppppiya', 'cuteushakumari', 'rupalpiya']"
20,38934,"Regardless of the Origins
No doubt how it spread once it got here

San Antonio Food Bank gets 10,000 Families
https://t.co/xZ1VHnN7vd

Golf Kept Trump From Focusing On COVID-19
https://t.co/NaqYuPS6Yi

Simulation shows how one cough can spread coronavirus
https://t.co/wOEhWiAhFM https://t.co/FmvKAmDaGq",0,"['regardless', 'of', 'the', 'origins', 'no', 'doubt', 'how', 'it', 'spread', 'once', 'it', 'got', 'here', 'san', 'antonio', 'food', 'bank', 'gets', '10,000', 'families', 'https', ':', '//t.co/xz1vhnn7vd', 'golf', 'kept', 'trump', 'from', 'focusing', 'on', 'covid-19', 'https', ':', '//t.co/naqyups6yi', 'simulation', 'shows', 'how', 'one', 'cough', 'can', 'spread', 'coronavirus', 'https', ':', '//t.co/woehwiahfm', 'https', ':', '//t.co/fmvkamdagq']","['regardless', 'origin', 'doubt', 'spread', 'get', 'san', 'antonio', 'food', 'bank', 'get', 'family', 'http', 'golf', 'keep', 'trump', 'focus', 'http', 'simulation', 'show', 'one', 'cough', 'spread', 'coronavirus', 'http', 'http']"
21,33415,Street stocks finish lower as a rally based on optimism over apparent progress in combating the fades late in the session 19,2,"['street', 'stocks', 'finish', 'lower', 'as', 'a', 'rally', 'based', 'on', 'optimism', 'over', 'apparent', 'progress', 'in', 'combating', 'the', 'fades', 'late', 'in', 'the', 'session', '19']","['street', 'stock', 'finish', 'low', 'rally', 'base', 'optimism', 'apparent', 'progress', 'combat', 'fade', 'late', 'session']"
22,40233,developed algorithms to predict food supply amp demand to better respond to COVID 19 s impact They use Salesforce to proactively help their supply chain and manufacturing customers be prepared for unexpected business interruptions,2,"['developed', 'algorithms', 'to', 'predict', 'food', 'supply', 'amp', 'demand', 'to', 'better', 'respond', 'to', 'covid', '19', 's', 'impact', 'they', 'use', 'salesforce', 'to', 'proactively', 'help', 'their', 'supply', 'chain', 'and', 'manufacturing', 'customers', 'be', 'prepared', 'for', 'unexpected', 'business', 'interruptions']","['develop', 'algorithm', 'predict', 'food', 'supply', 'amp', 'demand', 'good', 'respond', 'covid', 'impact', 'use', 'salesforce', 'proactively', 'help', 'supply', 'chain', 'manufacturing', 'customer', 'prepare', 'unexpected', 'business', 'interruption']"
23,38689,"@john_gibbs48 I saw $1.37 when I was out to the grocery store last week, here in WI. Who cares, we don't really need it right now anyway. I'm usually a 2x/week fillup, but I haven't needed to get gas in weeks. #SocialDistancing",2,"['@', 'john_gibbs48', 'i', 'saw', '$', '1.37', 'when', 'i', 'was', 'out', 'to', 'the', 'grocery', 'store', 'last', 'week', ',', 'here', 'in', 'wi', '.', 'who', 'cares', ',', 'we', 'do', ""n't"", 'really', 'need', 'it', 'right', 'now', 'anyway', '.', 'i', ""'m"", 'usually', 'a', '2x/week', 'fillup', ',', 'but', 'i', 'have', ""n't"", 'needed', 'to', 'get', 'gas', 'in', 'weeks', '.', '#', 'socialdistancing']","['saw', 'grocery', 'store', 'last', 'week', 'wi', 'care', 'really', 'need', 'right', 'anyway', 'usually', 'fillup', 'need', 'get', 'gas', 'week', 'socialdistancing']"
24,38394,"@ssupnow 1.Sanitizer
2.Italy 
3.Wuhan 
4. Grocery
#coronavirus #covid19 #contest #alert #GiveawayAlert #competition #puzzle 
Join guys, 
@lokhande_sumedh
@priya19909678
@khemka_nidhi
@dayalojha4
@sengodan4
@pranab1151
@giri_bivas",2,"['@', 'ssupnow', '1.sanitizer', '2.italy', '3.wuhan', '4.', 'grocery', '#', 'coronavirus', '#', 'covid19', '#', 'contest', '#', 'alert', '#', 'giveawayalert', '#', 'competition', '#', 'puzzle', 'join', 'guys', ',', '@', 'lokhande_sumedh', '@', 'priya19909678', '@', 'khemka_nidhi', '@', 'dayalojha4', '@', 'sengodan4', '@', 'pranab1151', '@', 'giri_bivas']","['ssupnow', 'grocery', 'coronavirus', 'contest', 'alert', 'giveawayalert', 'competition', 'puzzle', 'join', 'guy']"
25,37775,GPs warn of hidden medical cost of coronavirus https://t.co/KiRS73FQVY,0,"['gps', 'warn', 'of', 'hidden', 'medical', 'cost', 'of', 'coronavirus', 'https', ':', '//t.co/kirs73fqvy']","['gps', 'warn', 'hidden', 'medical', 'cost', 'coronavirus', 'http']"
26,38192,"@RunwalOfficial Hum Honge kamiyab #India 
1. Wash hand frequently with alcohol sanitizer
2. Always use Face mask
3. Hand gloves
 #coronavirus @RunwalOfficial
#ContestAlert #Contest 
Join
@PampaDutta11
@DuttaSingha https://t.co/QJbXQMwmVI",2,"['@', 'runwalofficial', 'hum', 'honge', 'kamiyab', '#', 'india', '1.', 'wash', 'hand', 'frequently', 'with', 'alcohol', 'sanitizer', '2.', 'always', 'use', 'face', 'mask', '3.', 'hand', 'gloves', '#', 'coronavirus', '@', 'runwalofficial', '#', 'contestalert', '#', 'contest', 'join', '@', 'pampadutta11', '@', 'duttasingha', 'https', ':', '//t.co/qjbxqmwmvi']","['runwalofficial', 'hum', 'honge', 'kamiyab', 'india', 'wash', 'hand', 'frequently', 'alcohol', 'sanitizer', 'always', 'use', 'face', 'mask', 'hand', 'glove', 'coronavirus', 'runwalofficial', 'contestalert', 'contest', 'join', 'duttasingha', 'http']"
27,35172,something to think of for hospital staff EMTs social workers counselors emergency service repair grocery essential retail store employees anyone i forgot amp friends family worth the read,2,"['something', 'to', 'think', 'of', 'for', 'hospital', 'staff', 'emts', 'social', 'workers', 'counselors', 'emergency', 'service', 'repair', 'grocery', 'essential', 'retail', 'store', 'employees', 'anyone', 'i', 'forgot', 'amp', 'friends', 'family', 'worth', 'the', 'read']","['something', 'think', 'hospital', 'staff', 'emts', 'social', 'worker', 'counselor', 'emergency', 'service', 'repair', 'grocery', 'essential', 'retail', 'store', 'employee', 'anyone', 'forget', 'amp', 'friend', 'family', 'worth', 'read']"
28,38312,"?? COVID-19 ? Florida approved to allow SNAP recipients to purchase groceries online. This change allows Floridians to have access to food while also practicing social distancing. 

#SD13 #District13 #Coronavirus #COVID19 #StayHome
https://t.co/KsZpzARhY8",2,"['?', '?', 'covid-19', '?', 'florida', 'approved', 'to', 'allow', 'snap', 'recipients', 'to', 'purchase', 'groceries', 'online', '.', 'this', 'change', 'allows', 'floridians', 'to', 'have', 'access', 'to', 'food', 'while', 'also', 'practicing', 'social', 'distancing', '.', '#', 'sd13', '#', 'district13', '#', 'coronavirus', '#', 'covid19', '#', 'stayhome', 'https', ':', '//t.co/kszpzarhy8']","['florida', 'approve', 'allow', 'snap', 'recipient', 'purchase', 'grocery', 'online', 'change', 'allow', 'floridian', 'access', 'food', 'also', 'practice', 'social', 'distancing', 'coronavirus', 'stayhome', 'http']"
29,40227,The WFRC has seen a huge increase in demand for food bank hampers and is expected to see a higher demand as April goes on,2,"['the', 'wfrc', 'has', 'seen', 'a', 'huge', 'increase', 'in', 'demand', 'for', 'food', 'bank', 'hampers', 'and', 'is', 'expected', 'to', 'see', 'a', 'higher', 'demand', 'as', 'april', 'goes', 'on']","['wfrc', 'see', 'huge', 'increase', 'demand', 'food', 'bank', 'hamper', 'expect', 'see', 'high', 'demand', 'april', 'go']"
30,38765,"The business/logistical side of the toilet paper shortage explained:
https://t.co/oVxsNJW2n4

#coronavirus #COVID19 #pandemic #toiletpaper #shortage #panicbuying #Hoarding
#TP",0,"['the', 'business/logistical', 'side', 'of', 'the', 'toilet', 'paper', 'shortage', 'explained', ':', 'https', ':', '//t.co/ovxsnjw2n4', '#', 'coronavirus', '#', 'covid19', '#', 'pandemic', '#', 'toiletpaper', '#', 'shortage', '#', 'panicbuying', '#', 'hoarding', '#', 'tp']","['side', 'toilet', 'paper', 'shortage', 'explain', 'http', 'coronavirus', 'pandemic', 'toiletpaper', 'shortage', 'panicbuying', 'hoard', 'tp']"
31,33511,Appreciation and gratitude poured in for the country s health workers security guards utility workers supermarket personnel and other people who run essential establishments while most of the population remained at home due to the COVID 19 quarantine,2,"['appreciation', 'and', 'gratitude', 'poured', 'in', 'for', 'the', 'country', 's', 'health', 'workers', 'security', 'guards', 'utility', 'workers', 'supermarket', 'personnel', 'and', 'other', 'people', 'who', 'run', 'essential', 'establishments', 'while', 'most', 'of', 'the', 'population', 'remained', 'at', 'home', 'due', 'to', 'the', 'covid', '19', 'quarantine']","['appreciation', 'gratitude', 'pour', 'country', 'health', 'worker', 'security', 'guard', 'utility', 'worker', 'supermarket', 'personnel', 'people', 'run', 'essential', 'establishment', 'population', 'remain', 'home', 'due', 'covid', 'quarantine']"
32,37312,"Personal journal type tweet/ thread? (1/n)

Day 19 (09.04.20) of ""Official"" #SocialDistancing/#PhysicalDistancing &amp; #Shielding (the best I can) done yesterday.

* Mum had a big wobble, she is having difficulty registering with a supermarket for priority deliveries.",2,"['personal', 'journal', 'type', 'tweet/', 'thread', '?', '(', '1/n', ')', 'day', '19', '(', '09.04.20', ')', 'of', '``', 'official', ""''"", '#', 'socialdistancing/', '#', 'physicaldistancing', '&', 'amp', ';', '#', 'shielding', '(', 'the', 'best', 'i', 'can', ')', 'done', 'yesterday', '.', '*', 'mum', 'had', 'a', 'big', 'wobble', ',', 'she', 'is', 'having', 'difficulty', 'registering', 'with', 'a', 'supermarket', 'for', 'priority', 'deliveries', '.']","['personal', 'journal', 'type', 'thread', 'day', 'official', 'physicaldistancing', 'amp', 'shielding', 'best', 'do', 'yesterday', 'mum', 'big', 'wobble', 'difficulty', 'register', 'supermarket', 'priority', 'delivery']"
33,40758,"@mkauai @seanmdav And:. Calls to suicide hotlines up 300%.....a grin statistic for society....

Farmers dumping milk, restaurants scrambling to create grocery stores to prevent food loss.

Isolation decreases immune system, adds obesity (co-morbid",0,"['@', 'mkauai', '@', 'seanmdav', 'and', ':', '.', 'calls', 'to', 'suicide', 'hotlines', 'up', '300', '%', '...', '..a', 'grin', 'statistic', 'for', 'society', '...', '.', 'farmers', 'dumping', 'milk', ',', 'restaurants', 'scrambling', 'to', 'create', 'grocery', 'stores', 'to', 'prevent', 'food', 'loss', '.', 'isolation', 'decreases', 'immune', 'system', ',', 'adds', 'obesity', '(', 'co-morbid']","['mkauai', 'seanmdav', 'call', 'suicide', 'hotlines', 'grin', 'statistic', 'society', 'farmer', 'dump', 'milk', 'restaurant', 'scramble', 'create', 'grocery', 'store', 'prevent', 'food', 'loss', 'isolation', 'decrease', 'immune', 'system', 'add', 'obesity']"
34,34782,"Some Consumer Electronic brands are taking the lead in social responsibility, like @IBM whose highest spending ad is currently ""Free digital learning events &amp; resources"" for those affected by COVID-19.
#PathmaticsExplorer https://t.co/QzuS7brD19",2,"['some', 'consumer', 'electronic', 'brands', 'are', 'taking', 'the', 'lead', 'in', 'social', 'responsibility', ',', 'like', '@', 'ibm', 'whose', 'highest', 'spending', 'ad', 'is', 'currently', '``', 'free', 'digital', 'learning', 'events', '&', 'amp', ';', 'resources', ""''"", 'for', 'those', 'affected', 'by', 'covid-19', '.', '#', 'pathmaticsexplorer', 'https', ':', '//t.co/qzus7brd19']","['consumer', 'electronic', 'brand', 'take', 'lead', 'social', 'responsibility', 'like', 'ibm', 'whose', 'high', 'spending', 'ad', 'currently', 'free', 'digital', 'learn', 'event', 'amp', 'resource', 'affect', 'pathmaticsexplorer', 'http']"
35,33894,"The doctors, nurses, healthcare workers, grocery store employees, scientists, and many other essential service providers from every corner of the world, your are our #HEROES! Thank You! #StaySafe #Thankful #Coronavirus #CabrilloInn",2,"['the', 'doctors', ',', 'nurses', ',', 'healthcare', 'workers', ',', 'grocery', 'store', 'employees', ',', 'scientists', ',', 'and', 'many', 'other', 'essential', 'service', 'providers', 'from', 'every', 'corner', 'of', 'the', 'world', ',', 'your', 'are', 'our', '#', 'heroes', '!', 'thank', 'you', '!', '#', 'staysafe', '#', 'thankful', '#', 'coronavirus', '#', 'cabrilloinn']","['doctor', 'nurse', 'healthcare', 'worker', 'grocery', 'store', 'employee', 'scientist', 'many', 'essential', 'service', 'provider', 'every', 'corner', 'world', 'hero', 'thank', 'staysafe', 'thankful', 'coronavirus', 'cabrilloinn']"
